Date,Time,Sender_account,Receiver_account,Amount,Laundering_type,Cycle_ID,Cycle_Length,Hop_Number
2022-10-07,12:31:08,1806287031,8823232130,1780.12,Normal_Group,1,4,1
2022-10-12,23:44:53,8823232130,1806287031,1510.75,Normal_Group,1,4,2
2022-10-16,17:49:17,1806287031,9433811392,4644.27,Normal_Group,1,4,3
2022-11-03,04:19:40,9433811392,1806287031,1931.13,Normal_Group,1,4,4
2022-10-07,19:26:49,3797478122,2512073279,7051.11,Normal_Group,2,4,1
2022-10-13,23:58:25,2512073279,3797478122,4611.58,Normal_Group,2,4,2
2022-10-14,04:46:17,3797478122,2807308240,3284.45,Normal_Group,2,4,3
2022-10-22,21:32:39,2807308240,3797478122,7292.73,Normal_Group,2,4,4
2022-10-07,22:46:13,4594499722,6365805056,3585.24,Normal_Group,3,4,1
2022-10-07,23:47:46,6365805056,4594499722,5704.78,Normal_Group,3,4,2
2022-10-10,10:08:11,4594499722,2676116976,1046.25,Normal_Group,3,4,3
2022-10-23,18:37:42,2676116976,4594499722,3692.3,Normal_Group,3,4,4
2022-10-08,20:04:54,8913863501,80088999,2173.44,Normal_Group,4,4,1
2022-10-10,15:51:44,80088999,8913863501,1843.49,Normal_Group,4,4,2
2022-10-11,05:29:00,8913863501,9164349398,3177.18,Normal_Group,4,4,3
2022-10-13,10:34:15,9164349398,8913863501,2274.88,Normal_Group,4,4,4
2022-10-07,12:00:58,5868277189,4621276676,14046.72,Normal_Group,5,4,1
2022-10-15,11:17:09,4621276676,5868277189,1230.92,Normal_Group,5,4,2
2022-10-16,22:02:10,5868277189,4222108144,3308.84,Normal_Group,5,4,3
2022-10-28,04:29:31,4222108144,5868277189,16783.46,Normal_Group,5,4,4
2022-10-07,20:01:07,11292152,445928877,8712.19,Normal_Group,6,4,1
2022-10-10,17:28:27,445928877,11292152,8943.89,Normal_Group,6,4,2
2022-10-12,18:04:26,11292152,7132194725,4329.39,Normal_Group,6,4,3
2022-10-15,16:15:55,7132194725,11292152,8478.32,Normal_Group,6,4,4
2022-10-08,11:33:08,5109756158,949762285,1913.97,Normal_Group,7,4,1
2022-10-15,09:10:30,949762285,5109756158,2856.27,Normal_Group,7,4,2
2022-10-17,03:06:47,5109756158,116550819,2229.44,Normal_Group,7,4,3
2022-11-25,12:23:33,116550819,5109756158,2207.24,Normal_Group,7,4,4
2022-10-07,13:30:24,8626192211,4313032227,2198.81,Normal_Group,8,4,1
2022-10-07,19:42:22,4313032227,8626192211,5510.3,Normal_Group,8,4,2
2022-10-14,13:54:35,8626192211,8105977367,8944.59,Normal_Group,8,4,3
2022-12-19,23:17:25,8105977367,8626192211,2537.79,Normal_Group,8,4,4
2022-10-07,20:01:34,3171616698,841813027,10597.69,Normal_Group,9,4,1
2022-10-08,11:57:49,841813027,3171616698,2821.7,Normal_Group,9,4,2
2022-10-21,18:04:27,3171616698,705938145,1771.03,Normal_Group,9,4,3
2023-01-31,16:55:59,705938145,3171616698,12662.4,Normal_Group,9,4,4
2022-10-07,16:09:47,226693284,3125325502,3442.02,Normal_Group,10,4,1
2022-10-11,13:11:48,3125325502,226693284,1947.59,Normal_Group,10,4,2
2022-10-11,14:10:32,226693284,167801889,2650.19,Normal_Group,10,4,3
2023-01-04,08:43:47,167801889,226693284,3376.71,Normal_Group,10,4,4
2022-10-09,18:32:47,9631613840,5110134512,24315.96,Normal_Mutual,11,4,1
2022-11-06,09:45:15,5110134512,9631613840,23844.93,Normal_Mutual,11,4,2
2023-01-25,23:09:24,9631613840,9687236099,376449.48,Normal_Plus_Mutual,11,4,3
2023-02-25,15:42:09,9687236099,9631613840,25797.37,Normal_Plus_Mutual,11,4,4
2022-10-07,11:03:21,2544092504,4704308480,11546.34,Normal_Group,12,4,1
2022-10-16,02:25:17,4704308480,2544092504,5215.49,Normal_Group,12,4,2
2022-10-19,17:54:12,2544092504,7673539195,2858.14,Normal_Group,12,4,3
2022-10-25,11:50:29,7673539195,2544092504,13213.84,Normal_Group,12,4,4
2022-10-08,00:49:59,4077461911,5959236460,40508.81,Normal_Plus_Mutual,13,4,1
2022-11-08,22:00:56,5959236460,4077461911,3773.31,Normal_Plus_Mutual,13,4,2
2023-01-08,10:01:15,4077461911,5044672008,42387.19,Normal_Mutual,13,4,3
2023-02-24,20:33:14,5044672008,4077461911,42290.96,Normal_Mutual,13,4,4
2022-10-26,18:04:53,3940500698,7698929440,18929.19,Normal_Mutual,14,4,1
2022-11-24,23:08:33,7698929440,3940500698,18617.83,Normal_Mutual,14,4,2
2023-05-16,23:44:17,3940500698,4340082414,272441.98,Normal_Plus_Mutual,14,4,3
2023-06-16,14:15:15,4340082414,3940500698,19428.53,Normal_Plus_Mutual,14,4,4
2022-10-07,13:50:24,1644729543,8160295994,2869.77,Normal_Group,15,4,1
2022-10-17,21:12:13,8160295994,1644729543,832.63,Normal_Group,15,4,2
2022-10-19,00:54:56,1644729543,6272847133,10895.5,Normal_Group,15,4,3
2023-02-04,21:46:03,6272847133,1644729543,3300.96,Normal_Group,15,4,4
2022-10-07,18:46:38,3792752290,1153890982,1307.97,Normal_Group,16,4,1
2022-10-16,08:45:18,1153890982,3792752290,3934.6,Normal_Group,16,4,2
2022-10-16,08:51:35,3792752290,967963726,2488.6,Normal_Group,16,4,3
2023-01-30,10:57:42,967963726,3792752290,1543.39,Normal_Group,16,4,4
2022-10-07,12:37:41,8600542721,2915325387,2873.47,Normal_Group,17,4,1
2022-10-09,08:20:35,2915325387,8600542721,594.64,Normal_Group,17,4,2
2022-10-10,05:13:22,8600542721,829224585,2033.65,Normal_Group,17,4,3
2022-10-18,13:04:52,829224585,8600542721,2911.66,Normal_Group,17,4,4
2022-10-07,13:41:40,7444330665,5780213783,14632.87,Normal_Group,18,4,1
2022-10-11,23:46:22,5780213783,7444330665,8995.28,Normal_Group,18,4,2
2022-10-12,23:01:03,7444330665,3358870725,15478.75,Normal_Group,18,4,3
2022-10-13,16:27:52,3358870725,7444330665,16689.61,Normal_Group,18,4,4
2022-10-07,17:26:14,8359784024,9597748581,1700.01,Normal_Group,19,4,1
2022-10-08,19:01:02,9597748581,8359784024,1709.31,Normal_Group,19,4,2
